Municipio|CP|Dirección|Gasolina95|Gasoleo|Distancia
Galapagar|28260|CR M-505, 17,4|1,829|1,889|32.93668281189141
Galapagar|28260|CL CRTA. DE TORRELODONES, 10|1,829|1,869|32.038579244214006
Galapagar|28260|CALLE COLMENAREJO, 54|1,697|1,747|32.23120273790875
Galapagar|28260|CALLE GUADARRAMA, 70|1,807|1,836|33.05243500322192
Galapagar|28260|M-505 km 15,5|1,799|1,849|31.154240500398057
Getafe|28901|CALLE CALVARIO, 10|1,869|1,899|12.070169160893318
Getafe|28901|CARRETERA MADRID TOLEDO KM. 12|1,904|1,915|9.56492125558646
Getafe|28901|CARRETERA MADRID-TOLEDO KM. 10|1,894|1,915|9.359229746409412
Getafe|28905|AVDA ARCAS DE AGUA SN|1,839|1,859|13.53040629425386
Getafe|28905|CALLE MADRID, 143|1,865|1,889|10.281070660206995
Getafe|28905|CR  M-406 KM 10|1,869|1,929|11.323749809076066
Getafe|28904|CALLE FELIPE CALLEJA, S/N|1,849|1,869|11.566760142529153
Getafe|28903|CARRETERA A-42 KM. 13|1,869|1,929|12.500574324607319
Getafe|28903|CARRERA A-42, 13|1,869|1,929|12.45216318342226
Getafe|28903|CARRETERA MADRID - CADIZ KM. 12,5|1,894|1,915|10.50868863882979
Getafe|28903|CARRETERA MADRID - CADIZ KM. 12,5|1,894|1,915|10.410355535057574
Getafe|28903|AVENIDA DE LAS TRECE ROSAS, 6|1,869|1,915|10.196341840171488
Getafe|28909|CALLE HERREROS, 1|1,799|1,799|11.190686642587817
Getafe|28909|AVENIDA RIO GUADALQUIVIR, 11|1,849|1,899|15.383265501227058
Getafe|28906|CL DIESEL C/V Pº JOHN LENNON, S.N.|1,869|1,929|11.856448611934741
Getafe|28906|AVENIDA RÍO GUADALQUIVIR, 13|1,819|1,849|15.376246050904394
Getafe|28906|CALLE AGUSTIN DE BETANCOURT, 17|1,746|1,831|14.086532530038635
Getafe|28906|CALLE PITAGORAS, 1|1,859|1,889|12.4944840234001
Getafe|28906|AVENIDA RIO GUADALQUIVIR, 20|1,799|1,799|15.477049914618314
Getafe|28906|AUTOVIA A-4 KM. 14,3|1,864|1,915|12.536262204770773
Getafe|28906|AUTOVIA A-4 KM. 14,3|1,844|1,929|12.52868994112919
